Visitor,Home,Hour,Minute,Year,Month,Day
'San Jose Sharks','Anaheim Ducks',22,0,2021,2,5
'New York Rangers','New Jersey Devils',13,0,2021,2,6
'Montréal Canadiens','Ottawa Senators',13,0,2021,2,6
'Colorado Avalanche','St. Louis Blues',15,0,2021,2,6
'Arizona Coyotes','Minnesota Wild',15,0,2021,2,6
'Pittsburgh Penguins','New York Islanders',19,0,2021,2,6
'Vancouver Canucks','Toronto Maple Leafs',19,0,2021,2,6
'Buffalo Sabres','Boston Bruins',19,30,2021,2,6
'Edmonton Oilers','Calgary Flames',22,0,2021,2,6
'San Jose Sharks','Anaheim Ducks',22,0,2021,2,6
'Philadelphia Flyers','Washington Capitals',12,0,2021,2,7
'Detroit Red Wings','Florida Panthers',15,0,2021,2,7
'Carolina Hurricanes','Columbus Blue Jackets',15,0,2021,2,7
'Colorado Avalanche','St. Louis Blues',15,0,2021,2,7
'Arizona Coyotes','Minnesota Wild',15,0,2021,2,7
'Chicago Blackhawks','Dallas Stars',15,0,2021,2,7
'Los Angeles Kings','Vegas Golden Knights',15,0,2021,2,7
'Buffalo Sabres','Boston Bruins',19,0,2021,2,8
'New York Islanders','New York Rangers',19,0,2021,2,8
'Carolina Hurricanes','Columbus Blue Jackets',19,0,2021,2,8
'Edmonton Oilers','Ottawa Senators',19,0,2021,2,8
'Vancouver Canucks','Toronto Maple Leafs',19,0,2021,2,8
'Tampa Bay Lightning','Nashville Predators',20,0,2021,2,8
'Pittsburgh Penguins','New Jersey Devils',18,0,2021,2,9
'Philadelphia Flyers','Washington Capitals',19,0,2021,2,9
'Detroit Red Wings','Florida Panthers',19,0,2021,2,9
'Edmonton Oilers','Ottawa Senators',19,0,2021,2,9
'St. Louis Blues','Minnesota Wild',20,0,2021,2,9
'Tampa Bay Lightning','Nashville Predators',20,30,2021,2,9
'Chicago Blackhawks','Dallas Stars',20,30,2021,2,9
'Arizona Coyotes','Colorado Avalanche',21,0,2021,2,9
'Winnipeg Jets','Calgary Flames',22,0,2021,2,9
'Anaheim Ducks','Vegas Golden Knights',22,0,2021,2,9
'San Jose Sharks','Los Angeles Kings',22,0,2021,2,9
'Boston Bruins','New York Rangers',19,0,2021,2,10
'Toronto Maple Leafs','Montréal Canadiens',19,30,2021,2,10
'Washington Capitals','Buffalo Sabres',19,0,2021,2,11
'Pittsburgh Penguins','New York Islanders',19,0,2021,2,11
'New Jersey Devils','Philadelphia Flyers',19,0,2021,2,11
'Tampa Bay Lightning','Florida Panthers',19,0,2021,2,11
'Edmonton Oilers','Montréal Canadiens',19,0,2021,2,11
'Columbus Blue Jackets','Chicago Blackhawks',20,0,2021,2,11
'Detroit Red Wings','Nashville Predators',20,0,2021,2,11
'Ottawa Senators','Winnipeg Jets',20,0,2021,2,11
'St. Louis Blues','Minnesota Wild',20,0,2021,2,11
'Carolina Hurricanes','Dallas Stars',20,30,2021,2,11
'Arizona Coyotes','Colorado Avalanche',21,0,2021,2,11
'Calgary Flames','Vancouver Canucks',22,0,2021,2,11
'Anaheim Ducks','Vegas Golden Knights',22,0,2021,2,11
'San Jose Sharks','Los Angeles Kings',22,0,2021,2,11
'Boston Bruins','New York Rangers',19,0,2021,2,12
'Washington Capitals','Buffalo Sabres',13,0,2021,2,13
'Ottawa Senators','Winnipeg Jets',15,0,2021,2,13
'Boston Bruins','New York Islanders',19,0,2021,2,13
'New Jersey Devils','Philadelphia Flyers',19,0,2021,2,13
'Tampa Bay Lightning','Florida Panthers',19,0,2021,2,13
'Montréal Canadiens','Toronto Maple Leafs',19,0,2021,2,13
'St. Louis Blues','Arizona Coyotes',19,0,2021,2,13
'Columbus Blue Jackets','Chicago Blackhawks',20,0,2021,2,13
'Detroit Red Wings','Nashville Predators',20,0,2021,2,13
'Carolina Hurricanes','Dallas Stars',20,0,2021,2,13
'Calgary Flames','Vancouver Canucks',22,0,2021,2,13
'Minnesota Wild','Los Angeles Kings',22,0,2021,2,13
'Anaheim Ducks','San Jose Sharks',22,30,2021,2,13
'Washington Capitals','Pittsburgh Penguins',15,0,2021,2,14
'Colorado Avalanche','Vegas Golden Knights',19,0,2021,2,14
'St. Louis Blues','Arizona Coyotes',16,0,2021,2,15
'New Jersey Devils','Boston Bruins',19,0,2021,2,15
'New York Islanders','Buffalo Sabres',19,0,2021,2,15
'Ottawa Senators','Toronto Maple Leafs',19,0,2021,2,15
'Chicago Blackhawks','Detroit Red Wings',19,30,2021,2,15
'Nashville Predators','Dallas Stars',20,30,2021,2,15
'Winnipeg Jets','Edmonton Oilers',21,0,2021,2,15
'Calgary Flames','Vancouver Canucks',22,0,2021,2,15
'Anaheim Ducks','San Jose Sharks',22,30,2021,2,15
'New York Islanders','Buffalo Sabres',19,0,2021,2,16
'Philadelphia Flyers','New York Rangers',19,0,2021,2,16
'Columbus Blue Jackets','Carolina Hurricanes',19,0,2021,2,16
'Florida Panthers','Tampa Bay Lightning',19,0,2021,2,16
'Washington Capitals','Pittsburgh Penguins',19,0,2021,2,16
'Nashville Predators','Dallas Stars',20,30,2021,2,16
'Colorado Avalanche','Vegas Golden Knights',22,0,2021,2,16
'Minnesota Wild','Los Angeles Kings',22,0,2021,2,16
'Ottawa Senators','Toronto Maple Leafs',19,0,2021,2,17
'Chicago Blackhawks','Detroit Red Wings',19,30,2021,2,17
'Vancouver Canucks','Calgary Flames',22,0,2021,2,17
'Winnipeg Jets','Edmonton Oilers',22,0,2021,2,17
'New Jersey Devils','Boston Bruins',19,0,2021,2,18
'New York Rangers','Philadelphia Flyers',19,0,2021,2,18
'New York Islanders','Pittsburgh Penguins',19,0,2021,2,18
'Nashville Predators','Columbus Blue Jackets',19,0,2021,2,18
